protein_name,short_name,gene_symbol,gene_ID,accession,pfam_ID,identifier,method,resolution,chain,sequence_length,positions
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1CYU,NMR,N/A,A,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1CYV,NMR,N/A,A,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1DVC,NMR,N/A,A,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1DVD,NMR,N/A,A,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1GD3,NMR,N/A,A,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1GD4,NMR,N/A,A,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1N9J,NMR,N/A,A/B,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1NB3,X-ray,2.8 Å,A/B/C/D/P/R/S/T/I/J/K/L,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,1NB5,X-ray,2.4 Å,A/B/C/D/P/R/S/T/I/J/K/L,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,3K9M,X-ray,2.61 Å,A/B/C/D,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,3KFQ,X-ray,1.99 Å,A/B/C/D,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,3KSE,X-ray,1.71 Å,A/B/C/D/E/F,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,8GT0,X-ray,3.28 Å,A/C/E/B/D,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,8GT7,X-ray,3.28 Å,A/C/B/D/E/F,98,1-98
Cystatin-A,N/A,CSTA,ENST00000264474.4,P01040,PF00031,AF-P01040-F1,Predicted,,,98,
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1BYQ,X-ray,1.5 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1OSF,X-ray,1.75 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UY6,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UY7,X-ray,1.9 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UY8,X-ray,1.98 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UY9,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYC,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYD,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYE,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYF,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYG,X-ray,2.0 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYH,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYI,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYK,X-ray,2.2 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1UYL,X-ray,1.4 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1YC1,X-ray,1.7 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1YC3,X-ray,2.12 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1YC4,X-ray,1.81 Å,A,732,1-732
Heat shock protein HSP 90-alpha,N/A,HSP90AA1,ENST00000216281.13,P07900,"PF13589, PF00183",1YER,X-ray,1.65 Å,A,732,1-732
